"BehaviorSpace results (NetLogo 6.2.0)"
"segregacion.nlogo"
"grafica"
"10/03/2025 10:32:26:182 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","74","0","74"
"[run number]","densidad","tamanio","similitud","[step]","ticks"
"4","90","75","1","2","2"
"12","90","75","1","2","2"
"8","90","75","1","2","2"
"7","90","75","1","3","3"
"14","90","75","1","2","2"
"5","90","75","1","2","2"
"2","90","75","1","2","2"
"3","90","75","1","2","2"
"13","90","75","1","2","2"
"9","90","75","1","3","3"
"11","90","75","1","3","3"
"1","90","75","1","3","3"
"10","90","75","1","4","4"
"6","90","75","1","3","3"
"16","90","75","1","2","2"
"15","90","75","1","2","2"
"19","90","75","1","2","2"
"18","90","75","1","2","2"
"24","90","75","2","2","2"
"26","90","75","2","2","2"
"27","90","75","2","2","2"
"17","90","75","1","3","3"
"23","90","75","2","3","3"
"22","90","75","2","3","3"
"25","90","75","2","2","2"
"21","90","75","2","2","2"
"20","90","75","1","3","3"
"28","90","75","2","3","3"
"29","90","75","2","2","2"
"35","90","75","2","2","2"
"37","90","75","2","2","2"
"30","90","75","2","3","3"
"31","90","75","2","2","2"
"36","90","75","2","2","2"
"32","90","75","2","3","3"
"39","90","75","2","2","2"
"34","90","75","2","3","3"
"38","90","75","2","3","3"
"40","90","75","2","1","1"
"33","90","75","2","4","4"
"43","90","75","3","2","2"
"42","90","75","3","2","2"
"41","90","75","3","2","2"
"47","90","75","3","2","2"
"45","90","75","3","2","2"
"49","90","75","3","2","2"
"44","90","75","3","2","2"
"48","90","75","3","3","3"
"46","90","75","3","2","2"
"51","90","75","3","2","2"
"53","90","75","3","2","2"
"50","90","75","3","3","3"
"55","90","75","3","3","3"
"52","90","75","3","3","3"
"54","90","75","3","3","3"
"62","90","75","4","2","2"
"58","90","75","3","2","2"
"57","90","75","3","3","3"
"66","90","75","4","2","2"
"56","90","75","3","4","4"
"60","90","75","3","4","4"
"65","90","75","4","3","3"
"63","90","75","4","2","2"
"59","90","75","3","4","4"
"69","90","75","4","1","1"
"61","90","75","4","4","4"
"67","90","75","4","3","3"
"64","90","75","4","3","3"
"71","90","75","4","2","2"
"70","90","75","4","3","3"
"68","90","75","4","3","3"
"73","90","75","4","2","2"
"79","90","75","4","2","2"
"75","90","75","4","2","2"
"74","90","75","4","2","2"
"80","90","75","4","2","2"
"78","90","75","4","2","2"
"77","90","75","4","2","2"
"82","90","75","5","2","2"
"72","90","75","4","4","4"
"83","90","75","5","2","2"
"76","90","75","4","4","4"
"84","90","75","5","2","2"
"81","90","75","5","4","4"
"85","90","75","5","1","1"
"88","90","75","5","2","2"
"86","90","75","5","3","3"
"91","90","75","5","3","3"
"89","90","75","5","3","3"
"87","90","75","5","3","3"
"90","90","75","5","3","3"
"99","90","75","5","1","1"
"92","90","75","5","2","2"
"97","90","75","5","3","3"
"95","90","75","5","3","3"
"98","90","75","5","3","3"
"96","90","75","5","3","3"
"94","90","75","5","3","3"
"93","90","75","5","3","3"
"101","90","75","6","2","2"
"105","90","75","6","1","1"
"102","90","75","6","2","2"
"104","90","75","6","2","2"
"107","90","75","6","2","2"
"106","90","75","6","2","2"
"103","90","75","6","3","3"
"108","90","75","6","2","2"
"109","90","75","6","2","2"
"110","90","75","6","2","2"
"100","90","75","5","4","4"
"113","90","75","6","2","2"
"116","90","75","6","2","2"
"112","90","75","6","2","2"
"117","90","75","6","2","2"
"111","90","75","6","3","3"
"115","90","75","6","2","2"
"122","90","75","7","2","2"
"114","90","75","6","4","4"
"119","90","75","6","2","2"
"124","90","75","7","2","2"
"121","90","75","7","2","2"
"126","90","75","7","2","2"
"120","90","75","6","3","3"
"118","90","75","6","3","3"
"125","90","75","7","3","3"
"128","90","75","7","3","3"
"131","90","75","7","2","2"
"127","90","75","7","2","2"
"123","90","75","7","4","4"
"134","90","75","7","2","2"
"132","90","75","7","2","2"
"130","90","75","7","2","2"
"133","90","75","7","3","3"
"135","90","75","7","2","2"
"137","90","75","7","2","2"
"129","90","75","7","3","3"
"140","90","75","7","2","2"
"138","90","75","7","2","2"
"142","90","75","8","2","2"
"136","90","75","7","4","4"
"141","90","75","8","3","3"
"143","90","75","8","2","2"
"139","90","75","7","3","3"
"145","90","75","8","3","3"
"149","90","75","8","2","2"
"147","90","75","8","2","2"
"150","90","75","8","2","2"
"146","90","75","8","3","3"
"152","90","75","8","1","1"
"148","90","75","8","3","3"
"151","90","75","8","3","3"
"144","90","75","8","3","3"
"155","90","75","8","2","2"
"156","90","75","8","2","2"
"154","90","75","8","3","3"
"153","90","75","8","3","3"
"161","90","75","9","2","2"
"160","90","75","8","2","2"
"158","90","75","8","2","2"
"164","90","75","9","2","2"
"166","90","75","9","2","2"
"165","90","75","9","2","2"
"159","90","75","8","3","3"
"157","90","75","8","3","3"
"163","90","75","9","4","4"
"167","90","75","9","3","3"
"162","90","75","9","4","4"
"168","90","75","9","3","3"
"172","90","75","9","2","2"
"170","90","75","9","3","3"
"173","90","75","9","2","2"
"169","90","75","9","3","3"
"175","90","75","9","2","2"
"178","90","75","9","2","2"
"171","90","75","9","3","3"
"177","90","75","9","2","2"
"174","90","75","9","3","3"
"176","90","75","9","3","3"
"179","90","75","9","2","2"
"184","90","75","10","2","2"
"180","90","75","9","2","2"
"181","90","75","10","3","3"
"188","90","75","10","2","2"
"183","90","75","10","3","3"
"187","90","75","10","2","2"
"186","90","75","10","3","3"
"191","90","75","10","2","2"
"189","90","75","10","3","3"
"190","90","75","10","3","3"
"185","90","75","10","3","3"
"182","90","75","10","3","3"
"193","90","75","10","2","2"
"192","90","75","10","3","3"
"195","90","75","10","3","3"
"200","90","75","10","2","2"
"196","90","75","10","2","2"
"203","90","75","11","2","2"
"198","90","75","10","2","2"
"194","90","75","10","3","3"
"197","90","75","10","2","2"
"202","90","75","11","3","3"
"201","90","75","11","3","3"
"199","90","75","10","3","3"
"204","90","75","11","2","2"
"205","90","75","11","3","3"
"207","90","75","11","2","2"
"210","90","75","11","2","2"
"209","90","75","11","2","2"
"211","90","75","11","2","2"
"206","90","75","11","2","2"
"212","90","75","11","3","3"
"215","90","75","11","2","2"
"216","90","75","11","2","2"
"213","90","75","11","2","2"
"208","90","75","11","3","3"
"217","90","75","11","2","2"
"220","90","75","11","2","2"
"221","90","75","12","2","2"
"224","90","75","12","2","2"
"214","90","75","11","4","4"
"218","90","75","11","3","3"
"223","90","75","12","2","2"
"219","90","75","11","3","3"
"222","90","75","12","3","3"
"227","90","75","12","3","3"
"225","90","75","12","3","3"
"229","90","75","12","2","2"
"226","90","75","12","3","3"
"230","90","75","12","2","2"
"231","90","75","12","2","2"
"232","90","75","12","3","3"
"237","90","75","12","1","1"
"235","90","75","12","2","2"
"234","90","75","12","2","2"
"228","90","75","12","4","4"
"236","90","75","12","2","2"
"240","90","75","12","2","2"
"233","90","75","12","3","3"
"238","90","75","12","2","2"
"239","90","75","12","3","3"
"241","90","75","13","4","4"
"242","90","75","13","4","4"
"253","90","75","13","3","3"
"244","90","75","13","6","6"
"243","90","75","13","5","5"
"245","90","75","13","5","5"
"249","90","75","13","4","4"
"247","90","75","13","4","4"
"251","90","75","13","4","4"
"252","90","75","13","4","4"
"248","90","75","13","4","4"
"246","90","75","13","4","4"
"254","90","75","13","3","3"
"257","90","75","13","3","3"
"255","90","75","13","5","5"
"250","90","75","13","8","8"
"258","90","75","13","3","3"
"256","90","75","13","5","5"
"263","90","75","14","4","4"
"260","90","75","13","4","4"
"259","90","75","13","5","5"
"267","90","75","14","4","4"
"262","90","75","14","6","6"
"265","90","75","14","5","5"
"268","90","75","14","4","4"
"269","90","75","14","4","4"
"261","90","75","14","6","6"
"270","90","75","14","4","4"
"271","90","75","14","4","4"
"264","90","75","14","6","6"
"266","90","75","14","6","6"
"275","90","75","14","4","4"
"277","90","75","14","3","3"
"272","90","75","14","5","5"
"273","90","75","14","4","4"
"278","90","75","14","3","3"
"274","90","75","14","5","5"
