"BehaviorSpace results (NetLogo 6.2.0)"
"sir-dist.nlogo"
"variar DS"
"11/13/2025 19:02:48:688 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","POB","DS","TE","PC","WIG","S0","[step]","Emax","t-estrella"
"2","90","0","18","0.06","60","99","106","4456","41"
"4","90","0","18","0.06","60","99","113","4634","40"
"6","90","0","18","0.06","60","99","119","4659","39"
"11","90","0","18","0.06","60","99","105","4769","38"
"13","90","0","18","0.06","60","99","114","4550","41"
"12","90","0","18","0.06","60","99","118","4367","40"
"3","90","0","18","0.06","60","99","121","4603","38"
"7","90","0","18","0.06","60","99","109","4383","42"
"5","90","0","18","0.06","60","99","112","4720","40"
"1","90","0","18","0.06","60","99","116","4544","39"
"10","90","0","18","0.06","60","99","112","4674","39"
"14","90","0","18","0.06","60","99","103","4620","40"
"9","90","0","18","0.06","60","99","118","4730","38"
"8","90","0","18","0.06","60","99","142","4568","41"
"15","90","0","18","0.06","60","99","110","4668","39"
"17","90","0","18","0.06","60","99","123","4575","40"
"16","90","0","18","0.06","60","99","116","4570","39"
"20","90","0","18","0.06","60","99","109","4684","39"
"18","90","0","18","0.06","60","99","129","4717","38"
"19","90","0","18","0.06","60","99","102","4624","38"
"24","90","1","18","0.06","60","99","107","4642","40"
"23","90","1","18","0.06","60","99","112","4587","40"
"21","90","1","18","0.06","60","99","124","4492","42"
"26","90","1","18","0.06","60","99","111","4518","39"
"22","90","1","18","0.06","60","99","128","4657","42"
"28","90","1","18","0.06","60","99","116","4683","39"
"25","90","1","18","0.06","60","99","126","4451","39"
"27","90","1","18","0.06","60","99","117","4589","40"
"30","90","1","18","0.06","60","99","120","4595","39"
"32","90","1","18","0.06","60","99","109","4498","40"
"34","90","1","18","0.06","60","99","103","4553","39"
"33","90","1","18","0.06","60","99","109","4495","40"
"29","90","1","18","0.06","60","99","143","4469","42"
"31","90","1","18","0.06","60","99","115","4698","40"
"38","90","1","18","0.06","60","99","115","4138","42"
"35","90","1","18","0.06","60","99","110","4700","37"
"39","90","1","18","0.06","60","99","120","4575","40"
"41","90","2","18","0.06","60","99","109","4433","42"
"37","90","1","18","0.06","60","99","123","4506","39"
"40","90","1","18","0.06","60","99","133","4499","38"
"36","90","1","18","0.06","60","99","123","4638","40"
"42","90","2","18","0.06","60","99","116","4664","38"
"44","90","2","18","0.06","60","99","112","4551","41"
"46","90","2","18","0.06","60","99","104","4634","39"
"43","90","2","18","0.06","60","99","120","4448","40"
"48","90","2","18","0.06","60","99","106","4707","39"
"49","90","2","18","0.06","60","99","114","4465","43"
"47","90","2","18","0.06","60","99","121","4430","41"
"45","90","2","18","0.06","60","99","131","4415","43"
"52","90","2","18","0.06","60","99","106","4678","38"
"50","90","2","18","0.06","60","99","113","4620","38"
"51","90","2","18","0.06","60","99","114","4734","38"
"54","90","2","18","0.06","60","99","116","4573","39"
"53","90","2","18","0.06","60","99","125","4638","39"
"56","90","2","18","0.06","60","99","111","4721","37"
"55","90","2","18","0.06","60","99","108","4388","40"
"57","90","2","18","0.06","60","99","111","4636","42"
"58","90","2","18","0.06","60","99","118","4543","40"
"59","90","2","18","0.06","60","99","99","4726","40"
"62","90","3","18","0.06","60","99","106","4678","38"
"60","90","2","18","0.06","60","99","106","4673","38"
"61","90","3","18","0.06","60","99","119","4562","39"
"67","90","3","18","0.06","60","99","110","4293","42"
"65","90","3","18","0.06","60","99","100","4773","39"
"63","90","3","18","0.06","60","99","122","4530","38"
"66","90","3","18","0.06","60","99","115","4515","39"
"64","90","3","18","0.06","60","99","121","4438","41"
"69","90","3","18","0.06","60","99","111","4459","39"
"68","90","3","18","0.06","60","99","148","4553","38"
"70","90","3","18","0.06","60","99","127","4726","36"
"71","90","3","18","0.06","60","99","105","4454","40"
"72","90","3","18","0.06","60","99","110","4521","40"
"73","90","3","18","0.06","60","99","106","4515","37"
"76","90","3","18","0.06","60","99","121","4573","40"
"75","90","3","18","0.06","60","99","112","4375","40"
"77","90","3","18","0.06","60","99","114","4492","39"
"80","90","3","18","0.06","60","99","108","4592","37"
"81","90","4","18","0.06","60","99","115","4565","38"
"74","90","3","18","0.06","60","99","141","4612","39"
"79","90","3","18","0.06","60","99","113","4479","39"
"82","90","4","18","0.06","60","99","108","4718","40"
"78","90","3","18","0.06","60","99","122","4576","40"
"83","90","4","18","0.06","60","99","110","4754","40"
"84","90","4","18","0.06","60","99","126","4789","39"
"85","90","4","18","0.06","60","99","125","4592","42"
"87","90","4","18","0.06","60","99","122","4506","37"
"86","90","4","18","0.06","60","99","130","4491","40"
"90","90","4","18","0.06","60","99","104","4468","39"
"91","90","4","18","0.06","60","99","104","4671","38"
"88","90","4","18","0.06","60","99","113","4518","39"
"89","90","4","18","0.06","60","99","107","4619","40"
"92","90","4","18","0.06","60","99","109","4588","40"
"93","90","4","18","0.06","60","99","112","4538","40"
"94","90","4","18","0.06","60","99","112","4614","38"
"95","90","4","18","0.06","60","99","124","4658","37"
"97","90","4","18","0.06","60","99","120","4435","40"
"96","90","4","18","0.06","60","99","131","4516","40"
"99","90","4","18","0.06","60","99","111","4438","41"
"100","90","4","18","0.06","60","99","103","4532","40"
"98","90","4","18","0.06","60","99","110","4565","40"
"101","90","5","18","0.06","60","99","123","4452","40"
"102","90","5","18","0.06","60","99","111","4569","41"
"104","90","5","18","0.06","60","99","106","4617","38"
"106","90","5","18","0.06","60","99","107","4661","39"
"103","90","5","18","0.06","60","99","124","4503","38"
"105","90","5","18","0.06","60","99","107","4540","39"
"109","90","5","18","0.06","60","99","115","4478","37"
"108","90","5","18","0.06","60","99","108","4643","39"
"107","90","5","18","0.06","60","99","110","4659","42"
"110","90","5","18","0.06","60","99","121","4544","41"
"111","90","5","18","0.06","60","99","126","4541","40"
"112","90","5","18","0.06","60","99","118","4650","40"
"113","90","5","18","0.06","60","99","121","4642","39"
"116","90","5","18","0.06","60","99","109","4449","40"
"115","90","5","18","0.06","60","99","124","4518","41"
"114","90","5","18","0.06","60","99","122","4529","40"
"117","90","5","18","0.06","60","99","112","4836","38"
"118","90","5","18","0.06","60","99","117","4545","40"
"119","90","5","18","0.06","60","99","118","4568","38"
"120","90","5","18","0.06","60","99","115","4638","39"
"122","90","6","18","0.06","60","99","103","4676","40"
"124","90","6","18","0.06","60","99","112","4513","41"
"121","90","6","18","0.06","60","99","121","4340","41"
"123","90","6","18","0.06","60","99","131","4618","37"
"126","90","6","18","0.06","60","99","109","4760","39"
"127","90","6","18","0.06","60","99","120","4518","41"
"125","90","6","18","0.06","60","99","121","4585","40"
"128","90","6","18","0.06","60","99","119","4654","38"
"129","90","6","18","0.06","60","99","119","4437","39"
"131","90","6","18","0.06","60","99","109","4412","40"
"132","90","6","18","0.06","60","99","116","4513","38"
"130","90","6","18","0.06","60","99","114","4302","40"
"133","90","6","18","0.06","60","99","110","4625","40"
"135","90","6","18","0.06","60","99","99","4691","40"
"134","90","6","18","0.06","60","99","115","4405","38"
"136","90","6","18","0.06","60","99","117","4718","38"
"137","90","6","18","0.06","60","99","114","4503","38"
"139","90","6","18","0.06","60","99","107","4533","41"
"140","90","6","18","0.06","60","99","105","4556","39"
"138","90","6","18","0.06","60","99","120","4384","40"
"142","90","7","18","0.06","60","99","111","4610","40"
"144","90","7","18","0.06","60","99","111","4522","40"
"143","90","7","18","0.06","60","99","119","4374","43"
"147","90","7","18","0.06","60","99","102","4613","38"
"145","90","7","18","0.06","60","99","125","4593","40"
"141","90","7","18","0.06","60","99","122","4599","39"
"146","90","7","18","0.06","60","99","104","4615","39"
"150","90","7","18","0.06","60","99","110","4682","37"
"149","90","7","18","0.06","60","99","115","4639","41"
"148","90","7","18","0.06","60","99","125","4559","40"
"151","90","7","18","0.06","60","99","122","4536","40"
"152","90","7","18","0.06","60","99","111","4528","40"
"155","90","7","18","0.06","60","99","103","4388","40"
"153","90","7","18","0.06","60","99","137","4639","39"
"156","90","7","18","0.06","60","99","109","4394","42"
"158","90","7","18","0.06","60","99","104","4687","39"
"157","90","7","18","0.06","60","99","107","4417","41"
"154","90","7","18","0.06","60","99","129","4595","41"
"159","90","7","18","0.06","60","99","120","4519","37"
"160","90","7","18","0.06","60","99","111","4556","39"
"161","90","8","18","0.06","60","99","106","4535","39"
"162","90","8","18","0.06","60","99","108","4472","42"
"165","90","8","18","0.06","60","99","105","4587","40"
"163","90","8","18","0.06","60","99","124","4373","41"
"164","90","8","18","0.06","60","99","108","4676","40"
"166","90","8","18","0.06","60","99","115","4742","39"
"167","90","8","18","0.06","60","99","117","4414","39"
"169","90","8","18","0.06","60","99","109","4476","37"
"168","90","8","18","0.06","60","99","113","4588","41"
"173","90","8","18","0.06","60","99","106","4465","37"
"170","90","8","18","0.06","60","99","121","4631","40"
"171","90","8","18","0.06","60","99","125","4616","40"
"172","90","8","18","0.06","60","99","117","4562","39"
"176","90","8","18","0.06","60","99","120","4309","43"
"174","90","8","18","0.06","60","99","109","4636","40"
"175","90","8","18","0.06","60","99","121","4507","40"
"177","90","8","18","0.06","60","99","119","4542","40"
"178","90","8","18","0.06","60","99","109","4881","39"
"179","90","8","18","0.06","60","99","111","4507","41"
"181","90","9","18","0.06","60","99","102","4677","37"
"180","90","8","18","0.06","60","99","114","4513","40"
"182","90","9","18","0.06","60","99","122","4487","41"
"183","90","9","18","0.06","60","99","109","4622","40"
"184","90","9","18","0.06","60","99","107","4695","39"
"185","90","9","18","0.06","60","99","105","4493","43"
"186","90","9","18","0.06","60","99","114","4477","39"
"187","90","9","18","0.06","60","99","126","4479","43"
"191","90","9","18","0.06","60","99","105","4747","37"
"188","90","9","18","0.06","60","99","137","4289","41"
"189","90","9","18","0.06","60","99","115","4805","39"
"192","90","9","18","0.06","60","99","106","4576","39"
"190","90","9","18","0.06","60","99","133","4440","41"
"193","90","9","18","0.06","60","99","123","4543","39"
"194","90","9","18","0.06","60","99","119","4638","38"
"195","90","9","18","0.06","60","99","116","4556","39"
"198","90","9","18","0.06","60","99","103","4762","39"
"196","90","9","18","0.06","60","99","119","4510","40"
"197","90","9","18","0.06","60","99","113","4621","40"
"199","90","9","18","0.06","60","99","122","4544","39"
"200","90","9","18","0.06","60","99","100","4660","38"
"201","90","10","18","0.06","60","99","116","4512","42"
"202","90","10","18","0.06","60","99","113","4442","39"
"204","90","10","18","0.06","60","99","102","4411","40"
"203","90","10","18","0.06","60","99","119","4671","40"
"205","90","10","18","0.06","60","99","118","4648","38"
"206","90","10","18","0.06","60","99","124","4628","39"
"209","90","10","18","0.06","60","99","105","4445","39"
"210","90","10","18","0.06","60","99","110","4525","39"
"211","90","10","18","0.06","60","99","109","4464","40"
"208","90","10","18","0.06","60","99","119","4523","42"
"213","90","10","18","0.06","60","99","108","4619","39"
"212","90","10","18","0.06","60","99","123","4401","39"
"214","90","10","18","0.06","60","99","112","4545","40"
"207","90","10","18","0.06","60","99","138","4683","39"
"218","90","10","18","0.06","60","99","119","4769","38"
"215","90","10","18","0.06","60","99","113","4531","39"
"216","90","10","18","0.06","60","99","116","4512","38"
"217","90","10","18","0.06","60","99","114","4586","40"
"219","90","10","18","0.06","60","99","108","4418","41"
"220","90","10","18","0.06","60","99","112","4410","40"
"221","90","11","18","0.06","60","99","114","4400","41"
"222","90","11","18","0.06","60","99","114","4751","39"
"223","90","11","18","0.06","60","99","116","4686","39"
"224","90","11","18","0.06","60","99","118","4544","38"
"225","90","11","18","0.06","60","99","120","4509","39"
"226","90","11","18","0.06","60","99","126","4642","39"
"227","90","11","18","0.06","60","99","109","4611","39"
"228","90","11","18","0.06","60","99","117","4469","42"
"229","90","11","18","0.06","60","99","101","4336","39"
"233","90","11","18","0.06","60","99","101","4623","38"
"231","90","11","18","0.06","60","99","116","4381","45"
"235","90","11","18","0.06","60","99","104","4399","39"
"230","90","11","18","0.06","60","99","136","4616","41"
"236","90","11","18","0.06","60","99","116","4604","39"
"232","90","11","18","0.06","60","99","122","4483","40"
"234","90","11","18","0.06","60","99","127","4640","40"
"239","90","11","18","0.06","60","99","104","4617","38"
"237","90","11","18","0.06","60","99","129","4383","42"
"238","90","11","18","0.06","60","99","128","4389","41"
"241","90","12","18","0.06","60","99","102","4579","38"
"240","90","11","18","0.06","60","99","131","4503","41"
"242","90","12","18","0.06","60","99","121","4418","37"
"243","90","12","18","0.06","60","99","111","4752","37"
"247","90","12","18","0.06","60","99","128","4480","39"
"245","90","12","18","0.06","60","99","102","4676","37"
"246","90","12","18","0.06","60","99","128","4522","41"
"251","90","12","18","0.06","60","99","108","4457","43"
"248","90","12","18","0.06","60","99","121","4557","39"
"244","90","12","18","0.06","60","99","127","4300","40"
"250","90","12","18","0.06","60","99","116","4666","39"
"249","90","12","18","0.06","60","99","118","4445","39"
