"BehaviorSpace results (NetLogo 6.2.0)"
"sir-dist-dos.nlogo"
"variar DS dos"
"11/15/2025 09:04:40:424 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","199","0","199"
"[run number]","POB","DS","PC","TE","WIG","S0","[step]","Emax","t-estrella"
"13","90","1","0.09","30","15","99","203","4190","51"
"8","90","0","0.09","30","15","99","168","4290","50"
"7","90","0","0.09","30","15","99","197","4354","48"
"5","90","0","0.09","30","15","99","215","4323","48"
"1","90","0","0.09","30","15","99","190","4227","50"
"14","90","1","0.09","30","15","99","208","3995","50"
"11","90","1","0.09","30","15","99","188","4191","51"
"6","90","0","0.09","30","15","99","202","4472","46"
"12","90","1","0.09","30","15","99","217","4099","49"
"2","90","0","0.09","30","15","99","215","4123","56"
"9","90","0","0.09","30","15","99","247","3971","47"
"3","90","0","0.09","30","15","99","229","4100","50"
"10","90","0","0.09","30","15","99","256","3875","49"
"4","90","0","0.09","30","15","99","302","3922","50"
"17","90","1","0.09","30","15","99","207","4078","49"
"19","90","1","0.09","30","15","99","206","3981","48"
"18","90","1","0.09","30","15","99","217","4137","48"
"23","90","2","0.09","30","15","99","204","4142","51"
"15","90","1","0.09","30","15","99","277","3664","55"
"16","90","1","0.09","30","15","99","244","4140","49"
"20","90","1","0.09","30","15","99","252","3914","50"
"25","90","2","0.09","30","15","99","236","4168","49"
"22","90","2","0.09","30","15","99","230","4245","46"
"21","90","2","0.09","30","15","99","240","3638","52"
"26","90","2","0.09","30","15","99","213","3885","52"
"24","90","2","0.09","30","15","99","264","3990","51"
"28","90","2","0.09","30","15","99","273","3727","52"
"27","90","2","0.09","30","15","99","231","3573","49"
"29","90","2","0.09","30","15","99","202","4221","48"
"30","90","2","0.09","30","15","99","214","4037","49"
"33","90","3","0.09","30","15","99","186","4322","49"
"32","90","3","0.09","30","15","99","219","4097","51"
"31","90","3","0.09","30","15","99","248","3788","50"
"41","90","4","0.09","30","15","99","173","3946","50"
"36","90","3","0.09","30","15","99","207","4403","51"
"35","90","3","0.09","30","15","99","252","4132","49"
"34","90","3","0.09","30","15","99","216","4095","49"
"40","90","3","0.09","30","15","99","201","3989","49"
"37","90","3","0.09","30","15","99","219","4010","48"
"43","90","4","0.09","30","15","99","219","3844","51"
"38","90","3","0.09","30","15","99","224","4037","48"
"42","90","4","0.09","30","15","99","213","4138","50"
"44","90","4","0.09","30","15","99","203","3623","52"
"39","90","3","0.09","30","15","99","252","3792","51"
"46","90","4","0.09","30","15","99","191","4234","49"
"45","90","4","0.09","30","15","99","203","3933","52"
"47","90","4","0.09","30","15","99","200","4065","50"
"49","90","4","0.09","30","15","99","214","4032","50"
"48","90","4","0.09","30","15","99","213","4274","46"
"52","90","5","0.09","30","15","99","194","4103","47"
"50","90","4","0.09","30","15","99","241","4111","48"
"55","90","5","0.09","30","15","99","194","3816","52"
"53","90","5","0.09","30","15","99","225","3943","49"
"56","90","5","0.09","30","15","99","202","3808","55"
"54","90","5","0.09","30","15","99","245","4159","51"
"57","90","5","0.09","30","15","99","216","3737","55"
"58","90","5","0.09","30","15","99","202","4165","49"
"60","90","5","0.09","30","15","99","217","4134","50"
"59","90","5","0.09","30","15","99","220","3766","49"
"61","90","6","0.09","30","15","99","249","4151","50"
"63","90","6","0.09","30","15","99","184","4188","50"
"51","90","5","0.09","30","15","99","343","3888","50"
