"BehaviorSpace results (NetLogo 6.2.0)"
"aves.nlogo"
"experimento1-cantidad-aves"
"11/28/2025 13:13:10:408 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","30"
"[run number]","numero-nidos","cantidad-ave1","cantidad-ave2","porcentaje-abundancia","[step]","maximo-energia","tick-maximo-energia","aves-sobrevivientes","porcentaje-aves-sobrevivientes"
"3","50","1","1","80","4320","7551.422421038609","4313","2","100"
"1","50","1","1","80","4320","8920.584449775019","4313","2","100"
"8","50","1","2","80","4320","9030.846150068299","4311","3","100"
"10","50","1","3","80","4320","8363.238103598755","4310","4","100"
"12","50","1","3","80","4320","8024.298149684511","4313","4","100"
"14","50","1","4","80","4320","7600.7520066956","4313","5","100"
"5","50","1","2","80","4320","8230.328385632876","4313","3","100"
"6","50","1","2","80","4320","7612.712192335341","4313","3","100"
"7","50","1","2","80","4320","7870.104479977911","4313","3","100"
"16","50","1","4","80","4320","7454.015323064299","4313","5","100"
"2","50","1","1","80","4320","9137.20311511658","4312","2","100"
"15","50","1","4","80","4320","8826.612155476794","4313","5","100"
"11","50","1","3","80","4320","8144.973172340104","4313","4","100"
"4","50","1","1","80","4320","9592.221678742892","4313","2","100"
"13","50","1","4","80","4320","8067.554068830314","4313","5","100"
"9","50","1","3","80","4320","7623.941925481387","4313","4","100"
"17","50","1","5","80","4320","7367.104323697742","4312","6","100"
"18","50","1","5","80","4320","7200.838891593933","4313","6","100"
"19","50","1","5","80","4320","6092.6670440106545","4313","6","100"
"20","50","1","5","80","4320","6845.955341192424","4313","6","100"
"24","50","1","6","80","4320","7999.131961498818","4313","7","100"
"21","50","1","6","80","4320","7275.071424348323","4313","7","100"
"23","50","1","6","80","4320","6979.794100499913","4313","7","100"
"22","50","1","6","80","4320","6503.547165698829","4313","7","100"
"26","50","1","7","80","4320","7410.996415667342","4313","8","100"
"25","50","1","7","80","4320","7356.789875639102","4313","8","100"
"28","50","1","7","80","4320","6246.5409396898385","4312","8","100"
"27","50","1","7","80","4320","6290.889419048671","4313","8","100"
"29","50","1","8","80","4320","6596.8711964247095","4311","9","100"
"30","50","1","8","80","4320","6005.96924762666","4313","9","100"
"31","50","1","8","80","4320","5859.194200285943","4313","9","100"
"32","50","1","8","80","4320","7132.790615321912","4313","9","100"
"33","50","1","9","80","4320","6184.9772078053265","4313","10","100"
"35","50","1","9","80","4320","6410.517563636826","4311","10","100"
"34","50","1","9","80","4320","6745.839445322653","4313","10","100"
"36","50","1","9","80","4320","6092.6166936421105","4313","10","100"
"39","50","1","10","80","4320","5862.113373285984","4313","11","100"
"38","50","1","10","80","4320","5056.128572088027","4313","11","100"
"37","50","1","10","80","4320","5670.265908969378","4313","11","100"
"40","50","1","10","80","4320","6003.2051944341365","4313","11","100"
"42","50","1","11","80","4320","5272.2129279239225","4265","12","100"
"41","50","1","11","80","4320","5195.8202113502875","4313","12","100"
