"BehaviorSpace results (NetLogo 6.2.0)"
"aves.nlogo"
"experimento2-porcentaje-comida"
"11/28/2025 14:54:50:793 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","30"
"[run number]","numero-nidos","cantidad-ave1","cantidad-ave2","porcentaje-abundancia","[step]","maximo-energia","tick-maximo-energia","aves-sobrevivientes","porcentaje-aves-sobrevivientes"
"13","50","22","18","0","63","245","0","0","0"
"11","50","22","18","0","41","245","0","0","0"
"12","50","22","18","0","43","245","0","0","0"
"6","50","22","18","0","43","245","0","0","0"
"1","50","22","18","0","69","245","0","0","0"
"4","50","22","18","0","73","245","0","0","0"
"5","50","22","18","0","43","245","0","0","0"
"9","50","22","18","0","64","245","0","0","0"
"7","50","22","18","0","65","245","0","0","0"
"14","50","22","18","0","63","245","0","0","0"
"8","50","22","18","0","43","245","0","0","0"
"2","50","22","18","0","63","245","0","0","0"
"17","50","22","18","0","40","245","0","0","0"
"3","50","22","18","0","111","245","0","0","0"
"19","50","22","18","0","43","245","0","0","0"
"15","50","22","18","0","63","245","0","0","0"
"20","50","22","18","0","66","245","0","0","0"
"16","50","22","18","0","64","245","0","0","0"
"22","50","22","18","0","69","245","0","0","0"
"21","50","22","18","0","63","245","0","0","0"
"18","50","22","18","0","64","245","0","0","0"
"24","50","22","18","0","63","245","0","0","0"
"25","50","22","18","0","61","245","0","0","0"
"23","50","22","18","0","72","245","0","0","0"
"10","50","22","18","0","64","245","0","0","0"
"26","50","22","18","0","64","245","0","0","0"
"27","50","22","18","0","41","245","0","0","0"
"29","50","22","18","0","61","245","0","0","0"
"28","50","22","18","0","43","245","0","0","0"
"30","50","22","18","0","71","245","0","0","0"
"37","50","22","18","1","65","245","0","0","0"
"34","50","22","18","1","73","245","0","0","0"
"31","50","22","18","1","72","245","0","0","0"
"42","50","22","18","1","83","245","0","0","0"
"40","50","22","18","1","68","245","0","0","0"
"32","50","22","18","1","83","245","0","0","0"
"36","50","22","18","1","83","245","0","0","0"
"38","50","22","18","1","73","245","0","0","0"
"44","50","22","18","1","80","245","0","0","0"
"35","50","22","18","1","75","245","0","0","0"
"41","50","22","18","1","81","245","0","0","0"
"33","50","22","18","1","91","245","0","0","0"
"49","50","22","18","1","83","245","0","0","0"
"39","50","22","18","1","77","245","0","0","0"
"46","50","22","18","1","68","245","0","0","0"
"43","50","22","18","1","72","245","0","0","0"
"53","50","22","18","1","71","245","0","0","0"
"45","50","22","18","1","78","245","0","0","0"
"50","50","22","18","1","78","245","0","0","0"
"57","50","22","18","1","82","245","0","0","0"
"51","50","22","18","1","91","245","0","0","0"
"48","50","22","18","1","85","245","0","0","0"
"55","50","22","18","1","74","245","0","0","0"
"47","50","22","18","1","81","245","0","0","0"
"52","50","22","18","1","79","245","0","0","0"
"54","50","22","18","1","66","245","0","0","0"
"59","50","22","18","1","84","245","0","0","0"
"64","50","22","18","2","69","245","0","0","0"
"61","50","22","18","2","74","245","0","0","0"
"56","50","22","18","1","69","245","0","0","0"
"63","50","22","18","2","73","245","0","0","0"
"65","50","22","18","2","78","245","0","0","0"
"62","50","22","18","2","86","245","0","0","0"
"67","50","22","18","2","68","245","0","0","0"
"69","50","22","18","2","84","245","0","0","0"
"72","50","22","18","2","70","245","0","0","0"
"73","50","22","18","2","77","245","0","0","0"
"71","50","22","18","2","84","245","0","0","0"
"66","50","22","18","2","74","245","0","0","0"
"60","50","22","18","1","67","245","0","0","0"
"68","50","22","18","2","66","245","0","0","0"
"75","50","22","18","2","78","245","0","0","0"
"77","50","22","18","2","70","245","0","0","0"
"76","50","22","18","2","73","245","0","0","0"
"58","50","22","18","1","83","245","0","0","0"
"80","50","22","18","2","67","245","0","0","0"
"78","50","22","18","2","76","245","0","0","0"
"79","50","22","18","2","75","245","0","0","0"
"82","50","22","18","2","74","245","0","0","0"
"81","50","22","18","2","82","245","0","0","0"
"83","50","22","18","2","83","245","0","0","0"
"86","50","22","18","2","78","245","0","0","0"
"88","50","22","18","2","85","245","0","0","0"
"87","50","22","18","2","73","245","0","0","0"
"90","50","22","18","2","77","245","0","0","0"
"70","50","22","18","2","80","245","0","0","0"
"74","50","22","18","2","90","245","0","0","0"
"94","50","22","18","3","67","245","0","0","0"
"84","50","22","18","2","79","245","0","0","0"
"93","50","22","18","3","82","245","0","0","0"
"91","50","22","18","3","74","245","0","0","0"
"92","50","22","18","3","111","245","0","0","0"
"85","50","22","18","2","76","245","0","0","0"
"99","50","22","18","3","68","245","0","0","0"
"98","50","22","18","3","68","245","0","0","0"
"96","50","22","18","3","80","245","0","0","0"
"97","50","22","18","3","72","245","0","0","0"
"95","50","22","18","3","122","245","0","0","0"
"102","50","22","18","3","77","245","0","0","0"
"101","50","22","18","3","72","245","0","0","0"
"104","50","22","18","3","78","245","0","0","0"
"105","50","22","18","3","65","245","0","0","0"
"100","50","22","18","3","74","245","0","0","0"
"89","50","22","18","2","70","245","0","0","0"
"111","50","22","18","3","71","245","0","0","0"
"108","50","22","18","3","75","245","0","0","0"
"110","50","22","18","3","65","245","0","0","0"
"103","50","22","18","3","110","245","0","0","0"
"106","50","22","18","3","75","245","0","0","0"
"107","50","22","18","3","71","245","0","0","0"
"113","50","22","18","3","78","245","0","0","0"
"109","50","22","18","3","113","245","0","0","0"
"116","50","22","18","3","72","245","0","0","0"
"115","50","22","18","3","73","245","0","0","0"
"112","50","22","18","3","68","245","0","0","0"
"119","50","22","18","3","70","245","0","0","0"
"114","50","22","18","3","81","245","0","0","0"
"120","50","22","18","3","80","245","0","0","0"
"121","50","22","18","4","78","245","0","0","0"
"117","50","22","18","3","78","245","0","0","0"
"125","50","22","18","4","76","245","0","0","0"
"126","50","22","18","4","79","245","0","0","0"
"123","50","22","18","4","119","245","0","0","0"
"127","50","22","18","4","70","245","0","0","0"
"122","50","22","18","4","81","245","0","0","0"
"130","50","22","18","4","115","245","0","0","0"
"128","50","22","18","4","77","245","0","0","0"
"129","50","22","18","4","75","245","0","0","0"
"133","50","22","18","4","77","245","0","0","0"
"132","50","22","18","4","71","245","0","0","0"
"118","50","22","18","3","82","245","0","0","0"
"124","50","22","18","4","74","245","0","0","0"
"135","50","22","18","4","84","245","0","0","0"
"131","50","22","18","4","87","245","0","0","0"
"136","50","22","18","4","78","245","0","0","0"
"138","50","22","18","4","75","245","0","0","0"
"137","50","22","18","4","78","245","0","0","0"
"134","50","22","18","4","75","245","0","0","0"
"140","50","22","18","4","76","245","0","0","0"
"141","50","22","18","4","84","245","0","0","0"
"144","50","22","18","4","73","245","0","0","0"
