"BehaviorSpace results (NetLogo 6.2.0)"
"aves.nlogo"
"experimento3-cantidad-nidos"
"11/28/2025 15:11:57:134 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","30"
"[run number]","numero-nidos","cantidad-ave1","cantidad-ave2","porcentaje-abundancia","[step]","maximo-energia","tick-maximo-energia","aves-sobrevivientes","porcentaje-aves-sobrevivientes"
"1","1","22","18","80","829","412.25971110509033","185","0","0"
"6","1","22","18","80","878","400.7913349209308","185","0","0"
"4","1","22","18","80","1073","409.91385157653184","329","0","0"
"12","1","22","18","80","834","408.24402426111584","185","0","0"
"10","1","22","18","80","811","445.69802016735423","137","0","0"
"3","1","22","18","80","980","397.4616972394042","137","0","0"
"11","1","22","18","80","1165","459.7020901922031","233","0","0"
"14","1","22","18","80","1195","456.8291199953046","233","0","0"
"13","1","22","18","80","1291","496.54708894431224","281","0","0"
"2","1","22","18","80","811","461.92900828704825","185","0","0"
"8","1","22","18","80","955","455.60084664110565","233","0","0"
"9","1","22","18","80","1099","487.49310540056814","281","0","0"
"17","1","22","18","80","955","485.9342095292146","233","0","0"
"15","1","22","18","80","926","404.98961188829037","137","0","0"
"5","1","22","18","80","976","420.71985498177054","185","0","0"
"19","1","22","18","80","599","397.6003346632785","137","0","0"
"18","1","22","18","80","800","391.72273600828066","137","0","0"
"16","1","22","18","80","1051","468.4582913963935","281","0","0"
"7","1","22","18","80","1022","412.90811984730027","233","0","0"
"23","1","22","18","80","637","354.7920841120348","89","0","0"
"20","1","22","18","80","955","436.67334552633037","233","0","0"
"21","1","22","18","80","786","436.9265097336174","281","0","0"
"25","1","22","18","80","700","461.6774104673139","185","0","0"
"27","1","22","18","80","667","346.9194147281525","137","0","0"
"22","1","22","18","80","1215","379.1543137997206","137","0","0"
"24","1","22","18","80","1124","448.86676101251504","233","0","0"
"26","1","22","18","80","1195","397.63034520165223","185","0","0"
"29","1","22","18","80","932","493.7628483076023","185","0","0"
"28","1","22","18","80","975","441.17037206727656","137","0","0"
"30","1","22","18","80","1051","471.38446866011645","233","0","0"
"32","2","22","18","80","1174","485.21901735781523","185","0","0"
"38","2","22","18","80","1483","532.6158004874649","281","0","0"
"41","2","22","18","80","1147","509.4626860584103","281","0","0"
"37","2","22","18","80","1627","627.141406221452","329","0","0"
"34","2","22","18","80","1789","570.7358836190227","473","0","0"
"35","2","22","18","80","2032","570.6039293011675","473","0","0"
"36","2","22","18","80","1675","598.0369352107348","329","0","0"
"42","2","22","18","80","1125","487.56054494004445","185","0","0"
"39","2","22","18","80","1310","557.053572114336","281","0","0"
"44","2","22","18","80","1027","493.169392142753","329","0","0"
"40","2","22","18","80","1212","512.6977616820111","329","0","0"
"31","2","22","18","80","2317","518.0223939494815","329","0","0"
"45","2","22","18","80","1069","562.8423754303535","329","0","0"
"33","2","22","18","80","1771","651.2929250234367","425","0","0"
"43","2","22","18","80","1435","529.1680444221702","233","0","0"
"46","2","22","18","80","1615","619.4347230105238","425","0","0"
"50","2","22","18","80","1215","475.6940558210188","329","0","0"
"55","2","22","18","80","999","477.29626695753177","281","0","0"
"56","2","22","18","80","1051","538.1583225077338","233","0","0"
"52","2","22","18","80","1448","609.4057688984778","377","0","0"
"59","2","22","18","80","1189","536.3077854933706","281","0","0"
"53","2","22","18","80","1387","603.0416123792227","329","0","0"
"54","2","22","18","80","1796","589.9091873092706","377","0","0"
"48","2","22","18","80","1531","557.6259768162174","521","0","0"
"47","2","22","18","80","1886","629.6957262733305","425","0","0"
"49","2","22","18","80","1723","583.9499482631493","473","0","0"
"60","2","22","18","80","1291","397.3355637450828","185","0","0"
"58","2","22","18","80","1915","546.132335703156","329","0","0"
"57","2","22","18","80","1675","620.8962534014394","425","0","0"
"51","2","22","18","80","2299","478.30699066493526","281","0","0"
"61","3","22","18","80","1793","615.3472405883931","473","0","0"
"65","3","22","18","80","1408","584.5915749279951","329","0","0"
"71","3","22","18","80","1647","536.4328905425415","329","0","0"
"68","3","22","18","80","1436","681.6874772902862","377","0","0"
"67","3","22","18","80","1760","632.421397879586","425","0","0"
"66","3","22","18","80","1939","578.3774866042573","377","0","0"
"63","3","22","18","80","2971","572.709705551339","329","0","0"
"69","3","22","18","80","2011","719.882258409363","617","0","0"
"62","3","22","18","80","2971","768.6872635840749","569","0","0"
"64","3","22","18","80","2174","821.7053340602394","617","0","0"
"70","3","22","18","80","1981","715.6869410532407","377","0","0"
"72","3","22","18","80","1993","665.2297040194105","473","0","0"
"75","3","22","18","80","1650","655.5589364056939","425","0","0"
"74","3","22","18","80","2228","739.0462456083833","569","0","0"
"73","3","22","18","80","3067","840.1671273591495","521","0","0"
"77","3","22","18","80","2125","612.5020515691202","473","0","0"
"76","3","22","18","80","2443","655.7188584036618","377","0","0"
"80","3","22","18","80","1602","630.2511209170314","425","0","0"
"78","3","22","18","80","2155","755.1356026530581","425","0","0"
"79","3","22","18","80","1963","730.5740219384585","569","0","0"
"85","3","22","18","80","1791","610.7776257629417","281","0","0"
"83","3","22","18","80","1865","582.2879886045913","281","0","0"
"87","3","22","18","80","2560","653.5166420613775","377","0","0"
"84","3","22","18","80","1827","597.8931608699429","377","0","0"
"82","3","22","18","80","3307","667.708330196444","473","0","0"
"81","3","22","18","80","2827","737.4894604215008","617","0","0"
"86","3","22","18","80","2443","588.0745816235467","473","0","0"
"88","3","22","18","80","2042","721.7856351357883","473","0","0"
"90","3","22","18","80","2324","654.8715013870957","377","0","0"
"91","4","22","18","80","2270","763.129070342681","521","0","0"
"89","3","22","18","80","2299","770.3709159357921","521","0","0"
"94","4","22","18","80","1627","686.0136642323841","425","0","0"
"97","4","22","18","80","1886","575.6972048603104","521","0","0"
"93","4","22","18","80","2683","815.2759954777335","569","0","0"
"104","4","22","18","80","1214","497.31167609021884","233","0","0"
"92","4","22","18","80","2875","880.350871358373","761","0","0"
"99","4","22","18","80","2155","806.7927816651078","713","0","0"
"107","4","22","18","80","1386","520.8366261404105","233","0","0"
"96","4","22","18","80","2173","788.4554810002567","521","0","0"
"95","4","22","18","80","2630","682.8030604653046","617","0","0"
"100","4","22","18","80","1963","716.7008277591378","617","0","0"
"101","4","22","18","80","2608","734.6420430201053","617","0","0"
"98","4","22","18","80","3163","774.6208651480622","473","0","0"
"105","4","22","18","80","1867","704.21055814228","521","0","0"
"103","4","22","18","80","3005","823.74576809714","569","0","0"
"102","4","22","18","80","2656","737.2332371055575","521","0","0"
"106","4","22","18","80","3373","887.8139140189908","569","0","0"
"108","4","22","18","80","2087","784.7785750627704","617","0","0"
"116","4","22","18","80","1421","667.4180469785131","377","0","0"
"109","4","22","18","80","2348","856.6310433165465","569","0","0"
"119","4","22","18","80","2635","626.9556609653941","521","0","0"
"112","4","22","18","80","4320","790.3960265767084","617","1","2.5"
"113","4","22","18","80","2251","842.4946219592733","569","0","0"
"115","4","22","18","80","2491","747.2054886558386","521","0","0"
"111","4","22","18","80","3193","810.1362868979679","569","0","0"
"114","4","22","18","80","2701","771.4648522688292","665","0","0"
"118","4","22","18","80","2416","863.0669939057971","761","0","0"
"110","4","22","18","80","3484","697.6763731318601","521","0","0"
"117","4","22","18","80","2808","846.4085539586304","617","0","0"
"120","4","22","18","80","2251","793.7129219174437","569","0","0"
"121","5","22","18","80","2635","834.1934756427933","665","0","0"
"122","5","22","18","80","2875","1057.6435502016652","1001","0","0"
"125","5","22","18","80","2299","898.6967679556226","761","0","0"
"127","5","22","18","80","2413","905.0388945664688","761","0","0"
"124","5","22","18","80","3595","893.979176554768","521","0","0"
"123","5","22","18","80","3259","809.9820899102389","569","0","0"
"126","5","22","18","80","4315","764.5414008593781","569","0","0"
